Pilar,Dificultad,Pregunta,OpcionA,OpcionB,OpcionC,OpcionD,RespuestaCorrecta,CorrectSoundURL,WrongSoundURL
Data driven 💗,Fácil 🟢,🤖 ¿Qué concepto se relaciona con tomar decisiones basadas en datos?,Intuición,Data driven,Experiencia,Suerte,1,,
Oferta 💙,Fácil 🟢,🛍️ ¿Qué mejora la visibilidad de una publicación?,Fotos borrosas,Título largo,Publicación premium,Precio alto,2,,
Oferta 💙,Fácil 🟢,🛍️ ¿Qué herramienta de contenido multimedia permite mostrar el producto en uso?,Gif animado,PDF descargable,Video externo de YouTube,Meli Clips,3,,
Oferta 💙,Fácil 🟢,🛍️ ¿Qué se recomienda evitar en la primera imagen del producto?,Fondo blanco neutro,Mostrar el producto en contexto,"Texto promocional, bordes o marcas de agua",El logo del vendedor,2,,
Oferta 💙,Fácil 🟢,🛍️ ¿Qué beneficios incluye una publicación premium en Mercado Libre?,Solo envío gratis,Logo destacado en el título,Mayor exposición y cuotas sin interés para el comprador,Requiere tener reputación platino,2,,
Oferta 💙,Fácil 🟢,🛍️ ¿Cuál es el beneficio de ofrecer variantes como talle o color en una misma publicación?,Reduce el tiempo de carga,Mejora el ranking en Ads,Ayuda a ser más específico en la elección del comprador,Permite usar logos en las imágenes,2,,
Oferta 💙,Fácil 🟢,🛍️ ¿Qué importancia tiene el tamaño correcto de las imágenes en la publicación?,Mejora el rendimiento de los anuncios,Permite incluir más texto,Mejora el posicionamiento en redes sociales,Permite que se vean bien en dispositivos móviles y destaque en el listado,3,,
Oferta 💙,Fácil 🟢,🛍️ ¿Cuál es la cantidad recomendada de imágenes para mejorar la calidad de una publicación?,3 imágenes con distintos ángulos,6 imágenes con zoom del producto,8 imágenes en fondo blanco,10 imágenes que muestren todos los detalles del producto,3,,
Oferta 💙,Fácil 🟢,🛍️ ¿Qué puede pasar si no se completa bien la ficha técnica del producto?,Solo se publica en Mercado Shops,El producto entra en revisión de contenido,La publicación puede tener menor exposición o ser pausada,No se puede cambiar el precio,2,,
Oferta 💙,Fácil 🟢,🛍️ ¿Qué diferencia una publicación clásica de una premium?,Tiene más fotos por defecto,Permite agrupar publicaciones,Ofrece financiación para el comprador y mayor visibilidad,Se sube solo desde el celular,2,,
Oferta 💙,Fácil 🟢,🛍️ ¿Qué impacto tiene usar palabras clave relevantes en el título del producto?,Reduce las preguntas de los compradores,Permite usar emojis,Aumenta la duración del anuncio,Ayuda a aparecer en más búsquedas,3,,
Reputación  ❤️,Fácil 🟢,🛡️ ¿Qué métrica afecta más la reputación del vendedor?,Cancelaciones,Ventas,Preguntas,Stock,0,,
Reputación  ❤️,Fácil 🟢,"🛡️ Si un vendedor tiene un 1% de sus ventas con reclamos, ¿qué color de reputación tendría?",Verde,Amarillo,Naranja,Rojo,0,,
Reputación  ❤️,Fácil 🟢,"🛡️ Si un vendedor tiene un 5% de sus ventas con reclamos, ¿qué color de reputación tendría?",Verde,Amarillo,Naranja,Rojo,3,,
Reputación  ❤️,Fácil 🟢,🛡️ ¿Qué práctica ayuda a evitar cancelaciones por falta de stock?,Publicar productos sin confirmar inventario,Realizar promociones sin planificación,Mantener actualizado el stock en todas las publicaciones,Cancelar manualmente las ventas cuando no hay stock,2,,
Reputación  ❤️,Fácil 🟢,🛡️ ¿Qué acción puede reducir los reclamos de los compradores?,Ofrecer productos de baja calidad,"Proporcionar videos, imágenes y fichas técnicas precisas",Ignorar las consultas de los compradores,Cancelar ventas sin explicación,1,,
Reputación  ❤️,Fácil 🟢,🛡️ ¿Qué factor mejora la reputación de un vendedor en Mercado Libre?,Respuestas rápidas,Despachar siempre en horario,Publicaciones con descuento,Fotos de baja calidad,1,,
Reputación  ❤️,Fácil 🟢,🛡️ ¿Cómo puede un vendedor mantener una buena reputación?,Realizando cancelaciones,Aumentando su inventario,Realizando campañas pagas,No realiza cancelaciones,3,,
Reputación  ❤️,Fácil 🟢,"🛡️ Si un vendedor tiene 100 ventas y cancela 2 por falta de stock, ¿cuál es su tasa de cancelación?",3%,2%,1%,0.5%,1,,
Reputación  ❤️,Fácil 🟢,🛡️ ¿Qué impacto tiene una alta tasa de cancelaciones en la cuenta del vendedor?,Mejora la visibilidad,Perjudica la reputación y puede limitar las publicaciones,Aumenta la tasa de conversión,No tiene consecuencias si hay ventas,1,,
Reputación  ❤️,Fácil 🟢,🛡️ ¿Qué efecto tiene resolver los reclamos dentro de las 48 horas?,Mejora la visibilidad de tus publicaciones,Disminuye el impacto negativo en la reputación,Aumenta el tiempo de envío,Evita que el comprador deje opiniones,1,,
Servicio 💛,Fácil 🟢,💬 ¿En qué plazo se recomienda responder preguntas de compradores?,en 2 Minutos,24 horas,48 horas,72 horas,1,,
Tráfico 💜,Fácil 🟢,📈 ¿Qué herramienta permite generar anuncios dentro de Mercado Libre?,MercadoPublicidad,MercadoAds,MercadoEnlace,MercadoBoost,1,,
Reputación  ❤️,Menos fácil 🟡,"🛡️ Si un vendedor tiene 100 ventas y cancela 2 por falta de stock, ¿cuál es su tasa de cancelación?",3%,2%,1%,0.5%,1,,
Servicio 💛,Menos fácil 🟡,💬 ¿En qué plazo se recomienda responder preguntas de compradores?,en 2 Minutos,24 horas,48 horas,72 horas,1,,
Tráfico 💜,Menos fácil 🟡,📈 ¿Qué herramienta permite generar anuncios dentro de Mercado Libre?,MercadoPublicidad,MercadoAds,MercadoEnlace,MercadoBoost,1,,
Data driven 💗,Menos fácil 🟡,🤖 ¿Qué concepto se relaciona con tomar decisiones basadas en datos?,Intuición,Data driven,Experiencia,Suerte,1,,
Oferta 💙,Menos fácil 🟡,🛍️ ¿Qué impacto tiene usar palabras clave relevantes en el título del producto?,Reduce las preguntas de los compradores,Permite usar emojis,Aumenta la duración del anuncio,Ayuda a aparecer en más búsquedas,3,,
Reputación  ❤️,Difícil 🔴,"🛡️ Si un vendedor tiene 100 ventas y cancela 2 por falta de stock, ¿cuál es su tasa de cancelación?",3%,2%,1%,0.5%,1,,
Servicio 💛,Difícil 🔴,💬 ¿En qué plazo se recomienda responder preguntas de compradores?,en 2 Minutos,24 horas,48 horas,72 horas,1,,
Tráfico 💜,Difícil 🔴,📈 ¿Qué herramienta permite generar anuncios dentro de Mercado Libre?,MercadoPublicidad,MercadoAds,MercadoEnlace,MercadoBoost,1,,
Data driven 💗,Difícil 🔴,🤖 ¿Qué concepto se relaciona con tomar decisiones basadas en datos?,Intuición,Data driven,Experiencia,Suerte,1,,
Oferta 💙,Difícil 🔴,🛍️ ¿Qué impacto tiene usar palabras clave relevantes en el título del producto?,Reduce las preguntas de los compradores,Permite usar emojis,Aumenta la duración del anuncio,Ayuda a aparecer en más búsquedas,3,,
Reputación  ❤️,Muy difícil 🔥,"🛡️ Si un vendedor tiene 100 ventas y cancela 2 por falta de stock, ¿cuál es su tasa de cancelación?",3%,2%,1%,0.5%,1,,
Servicio 💛,Muy difícil 🔥,💬 ¿En qué plazo se recomienda responder preguntas de compradores?,en 2 Minutos,24 horas,48 horas,72 horas,1,,
Tráfico 💜,Muy difícil 🔥,📈 ¿Qué herramienta permite generar anuncios dentro de Mercado Libre?,MercadoPublicidad,MercadoAds,MercadoEnlace,MercadoBoost,1,,
Data driven 💗,Muy difícil 🔥,🤖 ¿Qué concepto se relaciona con tomar decisiones basadas en datos?,Intuición,Data driven,Experiencia,Suerte,1,,
Oferta 💙,Muy difícil 🔥,🛍️ ¿Qué impacto tiene usar palabras clave relevantes en el título del producto?,Reduce las preguntas de los compradores,Permite usar emojis,Aumenta la duración del anuncio,Ayuda a aparecer en más búsquedas,3,,
Reputación  ❤️,Complicada 💀,"🛡️ Si un vendedor tiene 100 ventas y cancela 2 por falta de stock, ¿cuál es su tasa de cancelación?",3%,2%,1%,0.5%,1,,
Servicio 💛,Complicada 💀,💬 ¿En qué plazo se recomienda responder preguntas de compradores?,en 2 Minutos,24 horas,48 horas,72 horas,1,,
Tráfico 💜,Complicada 💀,📈 ¿Qué herramienta permite generar anuncios dentro de Mercado Libre?,MercadoPublicidad,MercadoAds,MercadoEnlace,MercadoBoost,1,,
Data driven 💗,Complicada 💀,🤖 ¿Qué concepto se relaciona con tomar decisiones basadas en datos?,Intuición,Data driven,Experiencia,Suerte,1,,
Oferta 💙,Complicada 💀,🛍️ ¿Qué impacto tiene usar palabras clave relevantes en el título del producto?,Reduce las preguntas de los compradores,Permite usar emojis,Aumenta la duración del anuncio,Ayuda a aparecer en más búsquedas,3,,
